Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2009.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,34374
2009.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,300307
2009.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,801
2009.03,Registered banks,221,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Registered banks,221,Financial assets Closing balance financial derivatives,LE00000,AFA0700,43477
2009.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3591
2009.03,Registered banks,221,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,403928
2009.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,200294
2009.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,97980
2009.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,46636
2009.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,14693
2009.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Registered banks,221,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,43541
2009.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,784
2009.03,Registered banks,221,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,6938
2009.03,Registered banks,221,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,2138
2009.03,Registered banks,221,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,4800
2009.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-788
2009.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,403139
2009.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,12934
2009.03,Other depository institutions,222,Financial assets Closing balance Total financial assets,LE00000,AFA0000,12649
2009.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,5
2009.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,6
2009.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,12638
2009.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
2009.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Other depository institutions,222,Financial assets Closing balance financial derivatives,LE00000,AFA0700,..
2009.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
